No escape,Age-independant escape,Age-dependant escape
15,14.0,23.0
29,5.0,14.0
18,24.0,19.0
13,30.0,24.0
45,8.0,19.0
12,21.0,11.0
20,12.0,20.0
11,19.0,20.0
17,30.0,15.0
30,27.0,23.0
49,15.0,13.0
7,33.0,14.0
8,45.0,5.0
26,8.0,8.0
75,15.0,24.0
26,25.0,24.0
24,20.0,19.0
29,9.0,9.0
27,14.0,30.0
17,35.0,8.0
15,17.0,19.0
17,12.0,21.0
20,25.0,28.0
36,9.0,12.0
26,41.0,19.0
29,10.0,30.0
36,67.0,23.0
31,24.0,24.0
56,2.0,31.0
9,34.0,22.0
34,16.0,4.0
24,13.0,33.0
38,25.0,9.0
39,56.0,8.0
24,26.0,26.0
24,21.0,15.0
17,19.0,30.0
4,8.0,19.0
10,12.0,10.0
19,30.0,39.0
26,38.0,9.0
16,9.0,14.0
14,40.0,36.0
23,12.0,38.0
20,19.0,9.0
14,13.0,12.0
31,21.0,4.0
22,20.0,18.0
19,21.0,25.0
33,32.0,25.0
23,16.0,9.0
22,12.0,41.0
27,39.0,10.0
34,43.0,6.0
36,21.0,2.0
10,49.0,1.0
17,32.0,16.0
15,12.0,35.0
28,55.0,13.0
10,13.0,11.0
19,15.0,25.0
26,37.0,10.0
10,29.0,18.0
26,22.0,8.0
6,22.0,20.0
31,19.0,19.0
30,39.0,30.0
14,30.0,9.0
10,8.0,9.0
18,19.0,19.0
47,40.0,26.0
6,32.0,6.0
15,22.0,7.0
18,16.0,16.0
27,9.0,12.0
28,19.0,39.0
17,14.0,12.0
33,14.0,12.0
34,22.0,33.0
35,27.0,13.0
28,67.0,7.0
34,22.0,22.0
29,39.0,19.0
29,9.0,18.0
22,44.0,32.0
20,15.0,15.0
18,16.0,22.0
11,18.0,45.0
23,10.0,16.0
32,32.0,9.0
9,29.0,24.0
26,15.0,19.0
11,21.0,14.0
29,39.0,28.0
28,24.0,37.0
41,37.0,11.0
20,16.0,27.0
28,46.0,16.0
31,8.0,9.0
29,34.0,22.0
20,8.0,9.0
8,32.0,33.0
28,17.0,16.0
34,40.0,15.0
37,35.0,16.0
20,31.0,32.0
20,53.0,27.0
23,36.0,15.0
25,33.0,21.0
14,16.0,36.0
37,43.0,7.0
37,13.0,18.0
19,56.0,29.0
33,32.0,26.0
26,3.0,16.0
10,25.0,23.0
21,43.0,46.0
9,11.0,8.0
25,16.0,34.0
15,8.0,8.0
35,21.0,31.0
51,20.0,8.0
29,31.0,32.0
27,30.0,25.0
10,21.0,17.0
25,4.0,40.0
15,25.0,9.0
12,17.0,31.0
51,26.0,4.0
25,5.0,26.0
16,50.0,33.0
30,27.0,28.0
40,13.0,16.0
24,27.0,14.0
22,71.0,31.0
13,44.0,32.0
16,34.0,3.0
26,18.0,30.0
10,18.0,3.0
22,37.0,11.0
19,21.0,11.0
19,43.0,8.0
18,9.0,21.0
33,19.0,27.0
10,17.0,31.0
32,25.0,30.0
37,8.0,10.0
47,55.0,21.0
50,36.0,4.0
26,38.0,42.0
23,35.0,25.0
15,32.0,17.0
56,46.0,26.0
41,23.0,14.0
19,17.0,11.0
21,27.0,20.0
18,15.0,5.0
13,15.0,22.0
37,31.0,16.0
32,33.0,27.0
17,23.0,11.0
23,5.0,13.0
17,15.0,27.0
47,46.0,44.0
73,20.0,27.0
18,54.0,18.0
21,55.0,12.0
32,8.0,37.0
42,18.0,21.0
7,16.0,17.0
8,38.0,34.0
17,22.0,5.0
22,14.0,17.0
31,25.0,12.0
15,37.0,25.0
38,15.0,8.0
17,31.0,16.0
36,38.0,18.0
6,11.0,12.0
12,18.0,35.0
8,14.0,11.0
9,21.0,4.0
14,36.0,23.0
48,31.0,17.0
33,34.0,23.0
10,40.0,27.0
30,26.0,15.0
13,26.0,38.0
17,28.0,3.0
34,52.0,15.0
31,42.0,23.0
16,42.0,15.0
24,31.0,22.0
10,45.0,8.0
18,15.0,16.0
22,5.0,23.0
9,26.0,14.0
22,32.0,35.0
12,17.0,16.0
4,28.0,14.0
20,51.0,42.0
31,12.0,38.0
13,46.0,14.0
18,6.0,21.0
13,29.0,36.0
12,21.0,31.0
28,32.0,34.0
17,36.0,40.0
23,17.0,11.0
26,56.0,28.0
37,37.0,10.0
12,40.0,8.0
7,8.0,15.0
44,48.0,5.0
60,12.0,24.0
13,48.0,17.0
29,24.0,12.0
6,29.0,6.0
8,37.0,36.0
71,13.0,27.0
9,8.0,18.0
48,20.0,11.0
24,17.0,24.0
21,46.0,12.0
16,24.0,5.0
23,5.0,8.0
30,25.0,29.0
7,18.0,13.0
12,39.0,3.0
25,43.0,24.0
29,7.0,3.0
47,20.0,18.0
39,29.0,13.0
17,30.0,8.0
31,15.0,17.0
21,24.0,24.0
32,13.0,5.0
47,53.0,7.0
14,11.0,37.0
35,9.0,7.0
26,21.0,20.0
31,4.0,29.0
12,55.0,8.0
10,33.0,30.0
40,48.0,15.0
11,12.0,13.0
29,29.0,13.0
16,18.0,20.0
32,62.0,21.0
24,28.0,9.0
12,21.0,20.0
8,11.0,21.0
34,11.0,4.0
9,32.0,4.0
20,33.0,33.0
21,18.0,12.0
17,40.0,18.0
33,23.0,22.0
48,21.0,33.0
17,13.0,20.0
16,54.0,21.0
23,7.0,24.0
16,18.0,33.0
23,34.0,18.0
29,18.0,9.0
33,5.0,11.0
33,23.0,21.0
28,40.0,13.0
26,60.0,13.0
31,12.0,22.0
15,5.0,7.0
11,13.0,27.0
9,8.0,5.0
34,22.0,23.0
23,30.0,23.0
13,61.0,10.0
26,39.0,12.0
4,58.0,5.0
16,28.0,8.0
13,28.0,22.0
29,16.0,30.0
28,24.0,16.0
48,19.0,20.0
30,33.0,21.0
28,26.0,12.0
16,39.0,9.0
26,21.0,28.0
23,30.0,23.0
14,38.0,12.0
31,40.0,16.0
28,22.0,14.0
31,30.0,29.0
31,20.0,24.0
35,10.0,9.0
23,31.0,14.0
26,25.0,26.0
33,32.0,12.0
27,24.0,11.0
12,17.0,4.0
22,29.0,17.0
26,52.0,21.0
11,51.0,8.0
51,34.0,17.0
59,7.0,30.0
8,2.0,20.0
26,24.0,18.0
30,1.0,19.0
21,36.0,10.0
25,34.0,11.0
9,28.0,22.0
33,33.0,13.0
8,10.0,31.0
34,13.0,17.0
6,7.0,29.0
34,15.0,19.0
43,13.0,2.0
15,10.0,24.0
19,8.0,1.0
27,28.0,13.0
30,34.0,23.0
25,50.0,11.0
24,48.0,28.0
39,27.0,9.0
26,38.0,14.0
41,42.0,10.0
8,39.0,13.0
8,27.0,7.0
45,27.0,13.0
13,20.0,8.0
39,22.0,9.0
35,17.0,10.0
3,9.0,18.0
41,32.0,10.0
6,20.0,8.0
11,30.0,40.0
9,25.0,28.0
14,23.0,25.0
29,36.0,22.0
45,21.0,15.0
27,2.0,26.0
12,19.0,33.0
31,32.0,32.0
7,19.0,7.0
42,12.0,5.0
20,52.0,19.0
31,28.0,27.0
11,21.0,20.0
22,12.0,28.0
6,7.0,10.0
12,23.0,1.0
32,39.0,13.0
44,5.0,22.0
22,27.0,9.0
10,17.0,20.0
26,9.0,30.0
17,27.0,25.0
35,26.0,11.0
14,36.0,14.0
33,16.0,2.0
30,24.0,19.0
13,14.0,19.0
20,43.0,19.0
13,17.0,12.0
17,40.0,27.0
31,31.0,21.0
56,30.0,14.0
33,24.0,7.0
23,31.0,29.0
17,19.0,23.0
44,8.0,5.0
39,30.0,12.0
22,32.0,17.0
36,50.0,25.0
7,17.0,36.0
45,28.0,16.0
3,43.0,19.0
17,21.0,24.0
6,8.0,8.0
34,37.0,17.0
4,22.0,31.0
29,4.0,40.0
15,17.0,20.0
38,9.0,31.0
45,17.0,17.0
10,25.0,15.0
42,21.0,8.0
25,13.0,19.0
24,16.0,29.0
9,12.0,43.0
24,19.0,21.0
27,14.0,8.0
64,40.0,3.0
27,28.0,2.0
40,22.0,4.0
30,20.0,32.0
29,36.0,9.0
13,23.0,25.0
43,28.0,29.0
11,38.0,9.0
39,35.0,15.0
16,2.0,26.0
43,25.0,13.0
38,9.0,16.0
14,14.0,12.0
9,10.0,14.0
29,48.0,17.0
45,30.0,14.0
14,48.0,28.0
37,35.0,7.0
23,18.0,23.0
25,29.0,28.0
54,22.0,9.0
29,41.0,35.0
23,49.0,2.0
35,47.0,20.0
29,23.0,27.0
34,40.0,7.0
15,13.0,14.0
43,49.0,10.0
12,27.0,48.0
30,4.0,35.0
2,23.0,18.0
29,9.0,29.0
32,35.0,22.0
43,32.0,8.0
21,34.0,7.0
10,16.0,27.0
29,40.0,28.0
31,22.0,14.0
35,25.0,15.0
24,8.0,23.0
25,14.0,13.0
38,26.0,20.0
27,22.0,5.0
26,17.0,27.0
8,17.0,23.0
35,15.0,9.0
34,13.0,26.0
12,26.0,34.0
19,6.0,16.0
0,7.0,11.0
21,17.0,22.0
25,33.0,24.0
27,18.0,17.0
18,38.0,27.0
22,11.0,31.0
23,23.0,24.0
32,40.0,17.0
22,19.0,14.0
38,13.0,11.0
24,49.0,8.0
4,33.0,16.0
29,9.0,25.0
21,39.0,33.0
20,21.0,16.0
44,31.0,17.0
30,15.0,15.0
20,17.0,13.0
27,38.0,19.0
8,35.0,6.0
14,30.0,7.0
19,23.0,12.0
22,31.0,15.0
49,20.0,18.0
63,25.0,38.0
21,43.0,17.0
52,23.0,10.0
29,45.0,30.0
5,36.0,13.0
17,48.0,4.0
33,51.0,33.0
17,31.0,9.0
47,13.0,18.0
38,39.0,24.0
45,12.0,31.0
38,31.0,15.0
40,34.0,28.0
38,38.0,17.0
10,41.0,14.0
6,17.0,15.0
32,24.0,12.0
15,38.0,27.0
16,23.0,30.0
25,55.0,23.0
8,34.0,20.0
28,29.0,20.0
24,30.0,36.0
28,14.0,13.0
37,27.0,13.0
35,10.0,31.0
32,44.0,24.0
22,36.0,17.0
12,50.0,30.0
24,27.0,18.0
31,5.0,23.0
13,30.0,38.0
37,35.0,41.0
24,36.0,23.0
27,17.0,34.0
40,13.0,8.0
68,11.0,29.0
38,26.0,14.0
60,8.0,27.0
52,31.0,9.0
42,61.0,19.0
22,41.0,10.0
27,12.0,26.0
26,28.0,27.0
10,31.0,5.0
38,37.0,9.0
16,51.0,17.0
7,20.0,13.0
19,36.0,11.0
30,33.0,26.0
24,27.0,8.0
9,16.0,17.0
30,17.0,32.0
30,4.0,17.0
21,18.0,31.0
32,25.0,29.0
30,32.0,20.0
26,21.0,12.0
10,8.0,5.0
13,10.0,14.0
24,34.0,24.0
18,21.0,26.0
40,23.0,20.0
28,40.0,33.0
22,18.0,11.0
5,21.0,32.0
24,7.0,16.0
7,18.0,17.0
12,39.0,4.0
13,17.0,18.0
33,32.0,25.0
21,13.0,21.0
27,11.0,8.0
56,11.0,29.0
24,30.0,21.0
6,24.0,23.0
46,36.0,18.0
15,27.0,21.0
58,24.0,7.0
10,9.0,18.0
13,10.0,28.0
31,14.0,39.0
11,26.0,17.0
28,13.0,3.0
26,13.0,13.0
28,34.0,11.0
55,11.0,11.0
17,27.0,9.0
18,21.0,15.0
12,12.0,14.0
33,23.0,24.0
12,23.0,11.0
7,17.0,5.0
39,4.0,6.0
19,32.0,24.0
28,35.0,9.0
26,11.0,9.0
21,48.0,10.0
16,47.0,15.0
49,27.0,29.0
34,60.0,11.0
21,15.0,14.0
22,49.0,31.0
22,22.0,13.0
53,16.0,6.0
35,27.0,11.0
4,29.0,11.0
43,27.0,12.0
52,24.0,23.0
34,32.0,15.0
16,23.0,16.0
20,35.0,22.0
10,5.0,4.0
27,26.0,33.0
8,8.0,13.0
16,33.0,14.0
51,8.0,19.0
49,26.0,12.0
32,40.0,20.0
24,30.0,31.0
17,9.0,19.0
47,10.0,11.0
39,23.0,10.0
15,40.0,33.0
47,34.0,15.0
25,14.0,27.0
24,48.0,12.0
27,27.0,7.0
50,12.0,15.0
19,28.0,22.0
31,15.0,16.0
32,32.0,3.0
16,17.0,32.0
32,14.0,27.0
25,49.0,25.0
26,7.0,29.0
25,8.0,9.0
18,38.0,24.0
27,41.0,26.0
22,6.0,5.0
56,32.0,8.0
39,15.0,33.0
26,34.0,8.0
14,11.0,26.0
22,48.0,9.0
19,18.0,17.0
18,48.0,12.0
10,5.0,10.0
30,6.0,23.0
51,36.0,26.0
32,9.0,21.0
7,16.0,29.0
7,12.0,12.0
44,26.0,28.0
41,27.0,15.0
10,32.0,30.0
13,29.0,32.0
42,23.0,3.0
50,43.0,11.0
58,37.0,5.0
24,27.0,7.0
23,27.0,8.0
15,28.0,38.0
34,40.0,6.0
23,31.0,15.0
5,24.0,11.0
5,38.0,4.0
18,25.0,5.0
29,34.0,14.0
39,29.0,14.0
14,14.0,18.0
28,26.0,6.0
33,23.0,36.0
24,8.0,9.0
24,29.0,12.0
22,13.0,12.0
31,26.0,27.0
36,25.0,12.0
26,36.0,12.0
37,7.0,21.0
51,28.0,27.0
12,30.0,27.0
43,17.0,27.0
15,13.0,19.0
24,14.0,16.0
31,4.0,8.0
19,34.0,24.0
38,7.0,22.0
13,16.0,20.0
21,8.0,25.0
7,32.0,14.0
38,17.0,28.0
15,27.0,9.0
13,42.0,30.0
24,26.0,13.0
12,56.0,33.0
19,3.0,23.0
26,37.0,8.0
19,53.0,13.0
26,57.0,26.0
20,43.0,25.0
42,34.0,18.0
36,20.0,36.0
20,24.0,10.0
7,50.0,7.0
20,22.0,6.0
34,14.0,21.0
25,10.0,17.0
24,44.0,17.0
31,36.0,13.0
21,39.0,19.0
52,10.0,20.0
10,17.0,14.0
50,16.0,10.0
9,36.0,4.0
13,42.0,16.0
25,38.0,40.0
31,22.0,7.0
16,25.0,8.0
10,15.0,16.0
41,15.0,23.0
26,32.0,14.0
24,43.0,28.0
18,14.0,9.0
16,20.0,19.0
30,46.0,27.0
43,26.0,42.0
43,27.0,7.0
25,62.0,6.0
7,7.0,6.0
36,20.0,15.0
40,16.0,24.0
35,18.0,3.0
18,49.0,34.0
36,18.0,22.0
22,18.0,7.0
48,16.0,12.0
46,9.0,22.0
23,29.0,34.0
20,38.0,11.0
10,15.0,14.0
32,58.0,15.0
10,37.0,10.0
28,2.0,7.0
5,12.0,18.0
17,9.0,10.0
29,9.0,17.0
33,37.0,16.0
19,37.0,7.0
36,33.0,25.0
9,46.0,13.0
38,14.0,15.0
12,11.0,32.0
28,34.0,17.0
4,18.0,30.0
39,51.0,14.0
10,21.0,16.0
26,51.0,20.0
27,31.0,16.0
23,45.0,23.0
29,17.0,2.0
9,5.0,27.0
39,46.0,10.0
21,19.0,7.0
6,25.0,20.0
22,31.0,16.0
18,18.0,18.0
19,17.0,2.0
34,38.0,13.0
14,9.0,18.0
13,22.0,16.0
18,54.0,9.0
54,12.0,15.0
3,14.0,37.0
30,17.0,2.0
26,29.0,11.0
31,7.0,12.0
15,21.0,11.0
54,15.0,9.0
27,15.0,6.0
37,57.0,33.0
34,18.0,46.0
23,53.0,14.0
31,55.0,11.0
27,6.0,18.0
29,10.0,31.0
15,28.0,17.0
21,25.0,28.0
22,22.0,31.0
7,56.0,20.0
26,46.0,5.0
9,13.0,28.0
22,43.0,16.0
27,28.0,19.0
22,16.0,17.0
12,25.0,46.0
25,19.0,23.0
21,27.0,2.0
38,16.0,23.0
6,26.0,14.0
20,40.0,9.0
4,15.0,31.0
10,49.0,18.0
7,39.0,17.0
40,9.0,16.0
7,29.0,11.0
12,14.0,9.0
24,16.0,28.0
26,12.0,23.0
21,57.0,21.0
50,19.0,18.0
21,21.0,22.0
23,30.0,22.0
33,8.0,23.0
26,20.0,14.0
50,9.0,21.0
44,29.0,28.0
23,50.0,28.0
38,23.0,20.0
6,51.0,33.0
24,13.0,16.0
19,33.0,7.0
28,35.0,21.0
13,14.0,13.0
11,21.0,15.0
15,6.0,15.0
16,24.0,6.0
39,4.0,10.0
36,45.0,37.0
14,16.0,25.0
27,18.0,12.0
24,52.0,25.0
28,13.0,23.0
32,10.0,13.0
21,19.0,26.0
11,16.0,28.0
22,23.0,16.0
23,56.0,27.0
24,25.0,27.0
14,20.0,16.0
11,18.0,26.0
29,27.0,40.0
29,10.0,14.0
30,9.0,21.0
41,15.0,18.0
7,10.0,10.0
39,8.0,39.0
19,11.0,21.0
41,16.0,27.0
22,41.0,11.0
32,14.0,9.0
13,34.0,9.0
20,9.0,14.0
16,8.0,11.0
30,16.0,12.0
31,36.0,7.0
35,13.0,19.0
3,53.0,21.0
23,30.0,6.0
49,35.0,30.0
39,13.0,8.0
35,15.0,10.0
39,4.0,20.0
37,7.0,12.0
46,7.0,9.0
13,14.0,29.0
25,26.0,32.0
10,13.0,11.0
6,32.0,13.0
29,21.0,33.0
20,10.0,10.0
27,22.0,8.0
14,25.0,16.0
2,9.0,6.0
10,12.0,24.0
25,54.0,14.0
43,40.0,4.0
35,22.0,22.0
20,31.0,43.0
28,54.0,16.0
18,13.0,28.0
53,4.0,24.0
18,37.0,25.0
15,21.0,13.0
25,30.0,19.0
21,35.0,10.0
44,55.0,19.0
62,23.0,40.0
17,7.0,9.0
30,31.0,13.0
3,16.0,16.0
36,7.0,21.0
26,26.0,15.0
20,13.0,20.0
52,51.0,2.0
29,26.0,18.0
21,12.0,27.0
25,13.0,14.0
15,34.0,10.0
19,61.0,9.0
17,28.0,15.0
8,22.0,11.0
11,13.0,16.0
8,37.0,14.0
8,25.0,34.0
47,29.0,9.0
38,13.0,8.0
17,18.0,16.0
36,10.0,36.0
30,29.0,9.0
37,7.0,13.0
32,15.0,29.0
25,13.0,39.0
27,22.0,35.0
29,17.0,13.0
13,5.0,4.0
34,34.0,7.0
28,47.0,14.0
19,17.0,30.0
16,5.0,15.0
27,9.0,10.0
7,21.0,22.0
38,32.0,9.0
30,1.0,21.0
27,36.0,12.0
0,29.0,40.0
15,43.0,16.0
37,31.0,18.0
6,31.0,30.0
37,16.0,18.0
27,22.0,22.0
13,8.0,31.0
35,18.0,13.0
12,42.0,4.0
20,42.0,39.0
19,26.0,6.0
28,13.0,7.0
11,13.0,17.0
20,23.0,16.0
27,6.0,10.0
39,30.0,7.0
30,19.0,26.0
22,18.0,11.0
18,38.0,13.0
26,4.0,12.0
36,16.0,32.0
19,29.0,34.0
26,26.0,17.0
32,18.0,11.0
32,18.0,28.0
21,27.0,31.0
20,38.0,19.0
29,16.0,9.0
4,29.0,24.0
24,17.0,18.0
19,21.0,7.0
18,28.0,15.0
33,22.0,13.0
37,34.0,22.0
38,17.0,17.0
33,11.0,2.0
7,17.0,5.0
23,39.0,22.0
22,30.0,17.0
18,19.0,5.0
11,40.0,9.0
8,20.0,8.0
25,20.0,36.0
26,27.0,26.0
19,18.0,11.0
51,5.0,16.0
36,16.0,7.0
18,49.0,13.0
38,19.0,1.0
41,9.0,31.0
66,22.0,31.0
23,21.0,16.0
22,15.0,8.0
78,34.0,18.0
28,32.0,42.0
40,32.0,26.0
23,25.0,13.0
20,43.0,8.0
45,3.0,29.0
51,35.0,24.0
14,27.0,4.0
17,43.0,15.0
14,21.0,19.0
19,14.0,2.0
66,34.0,21.0
54,11.0,25.0
25,7.0,9.0
31,29.0,26.0
30,32.0,18.0
3,13.0,29.0
40,38.0,16.0
25,23.0,7.0
37,11.0,17.0
30,12.0,3.0
38,29.0,28.0
11,31.0,25.0
23,40.0,17.0
17,39.0,11.0
37,26.0,12.0
19,25.0,30.0
46,7.0,20.0
36,11.0,35.0
55,14.0,15.0
48,39.0,18.0
33,31.0,5.0
29,17.0,16.0
20,12.0,18.0
1,23.0,8.0
29,21.0,17.0
19,27.0,19.0
20,36.0,21.0
31,18.0,18.0
22,3.0,22.0
11,48.0,21.0
27,12.0,34.0
30,22.0,32.0
9,22.0,17.0
23,24.0,34.0
19,9.0,11.0
25,6.0,7.0
11,30.0,29.0
51,30.0,6.0
31,49.0,13.0
18,17.0,18.0
24,3.0,18.0
19,2.0,11.0
13,57.0,12.0
33,7.0,29.0
57,13.0,31.0
38,41.0,23.0
9,42.0,26.0
21,12.0,12.0
3,46.0,7.0
19,37.0,11.0
36,10.0,9.0
25,33.0,28.0
22,39.0,17.0
16,23.0,12.0
30,32.0,23.0
23,32.0,20.0
27,10.0,21.0
11,34.0,27.0
40,7.0,32.0
19,34.0,36.0
64,15.0,28.0
24,15.0,33.0
13,20.0,31.0
12,27.0,30.0
21,11.0,3.0
26,46.0,12.0
31,29.0,28.0
40,14.0,43.0
32,26.0,24.0
17,35.0,30.0
27,20.0,9.0
45,27.0,16.0
34,15.0,31.0
52,14.0,9.0
11,21.0,6.0
38,14.0,30.0
24,18.0,18.0
29,10.0,29.0
19,14.0,18.0
63,40.0,38.0
29,27.0,17.0
17,21.0,3.0
11,29.0,2.0
22,11.0,9.0
33,15.0,12.0
17,37.0,10.0
23,5.0,39.0
18,2.0,3.0
42,28.0,27.0
33,44.0,7.0
23,32.0,32.0
4,45.0,32.0
13,32.0,10.0
39,9.0,4.0
37,24.0,7.0
22,31.0,16.0
19,18.0,20.0
11,29.0,15.0
48,40.0,27.0
40,22.0,13.0
42,18.0,29.0
29,16.0,14.0
34,11.0,14.0
34,6.0,19.0
23,25.0,35.0
22,40.0,20.0
19,12.0,18.0
13,9.0,12.0
52,30.0,38.0
34,48.0,15.0
2,14.0,14.0
25,26.0,21.0
48,40.0,41.0
28,4.0,14.0
13,36.0,18.0
16,31.0,10.0
14,24.0,3.0
